File_1,File_2,Label,L0,L1,L2,L3,L4,L5,L6,Notes,Human_Label
p2_palindrome_r0.py,p2_palindrome_r4.py,1,0,0,1,0,1,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p2_palindrome_r1.py,p2_palindrome_r2.py,1,0,0,0,0,1,0,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p2_palindrome_r1.py,p2_palindrome_r3.py,1,0,0,0,0,1,1,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p2_palindrome_r1.py,p2_palindrome_r4.py,1,0,0,0,0,1,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p2_palindrome_r2.py,p2_palindrome_r3.py,1,0,0,0,0,0,1,0,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p2_palindrome_r2.py,p2_palindrome_r4.py,1,0,0,0,0,0,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p2_palindrome_r3.py,p2_palindrome_r4.py,1,0,0,0,0,0,1,1,"Same palindrome check solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p3_gcd_r0.py,p3_gcd_r1.py,1,0,0,1,0,0,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p3_gcd_r0.py,p3_gcd_r2.py,1,0,0,1,0,1,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p3_gcd_r0.py,p3_gcd_r3.py,1,0,0,1,0,1,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p3_gcd_r0.py,p3_gcd_r4.py,1,0,0,1,0,1,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p3_gcd_r1.py,p3_gcd_r2.py,1,0,0,0,0,1,0,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p3_gcd_r1.py,p3_gcd_r3.py,1,0,0,0,0,1,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p3_gcd_r1.py,p3_gcd_r4.py,1,0,0,0,0,1,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p3_gcd_r2.py,p3_gcd_r3.py,1,0,0,0,0,0,1,0,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p3_gcd_r2.py,p3_gcd_r4.py,1,0,0,0,0,0,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p3_gcd_r3.py,p3_gcd_r4.py,1,0,0,0,0,0,1,1,"Same Euclidean GCD solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p4_sieve_r0.py,p4_sieve_r1.py,1,0,0,1,0,0,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p4_sieve_r0.py,p4_sieve_r2.py,1,0,0,1,0,1,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p4_sieve_r0.py,p4_sieve_r3.py,1,0,0,1,0,1,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p4_sieve_r0.py,p4_sieve_r4.py,1,0,0,1,0,1,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p4_sieve_r1.py,p4_sieve_r2.py,1,0,0,0,0,1,0,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p4_sieve_r1.py,p4_sieve_r3.py,1,0,0,0,0,1,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p4_sieve_r1.py,p4_sieve_r4.py,1,0,0,0,0,1,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p4_sieve_r2.py,p4_sieve_r3.py,1,0,0,0,0,0,1,0,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p4_sieve_r2.py,p4_sieve_r4.py,1,0,0,0,0,0,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p4_sieve_r3.py,p4_sieve_r4.py,1,0,0,0,0,0,1,1,"Same prime sieve solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p5_reverselist_r0.py,p5_reverselist_r1.py,1,0,0,1,0,0,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p5_reverselist_r0.py,p5_reverselist_r2.py,1,0,0,1,0,1,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p5_reverselist_r0.py,p5_reverselist_r3.py,1,0,0,1,0,1,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p5_reverselist_r0.py,p5_reverselist_r4.py,1,0,0,1,0,1,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p5_reverselist_r1.py,p5_reverselist_r2.py,1,0,0,0,0,1,0,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p5_reverselist_r1.py,p5_reverselist_r3.py,1,0,0,0,0,1,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p5_reverselist_r1.py,p5_reverselist_r4.py,1,0,0,0,0,1,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p5_reverselist_r2.py,p5_reverselist_r3.py,1,0,0,0,0,0,1,0,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p5_reverselist_r2.py,p5_reverselist_r4.py,1,0,0,0,0,0,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p5_reverselist_r3.py,p5_reverselist_r4.py,1,0,0,0,0,0,1,1,"Same linked-list reversal solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p6_bfs_r0.py,p6_bfs_r1.py,1,0,0,1,0,0,0,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p6_bfs_r0.py,p6_bfs_r2.py,1,0,0,1,0,1,0,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p6_bfs_r0.py,p6_bfs_r3.py,1,0,0,1,0,1,1,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p6_bfs_r0.py,p6_bfs_r4.py,1,0,0,1,0,1,1,1,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p6_bfs_r1.py,p6_bfs_r2.py,1,0,0,0,0,1,0,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p6_bfs_r1.py,p6_bfs_r3.py,1,0,0,0,0,1,1,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p6_bfs_r1.py,p6_bfs_r4.py,1,0,0,0,0,1,1,1,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p6_bfs_r2.py,p6_bfs_r3.py,1,0,0,0,0,0,1,0,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p6_bfs_r2.py,p6_bfs_r4.py,1,0,0,0,0,0,1,1,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p6_bfs_r3.py,p6_bfs_r4.py,1,0,0,0,0,0,1,1,"Same BFS shortest path solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p7_mergelists_r0.py,p7_mergelists_r1.py,1,0,0,1,0,0,0,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p7_mergelists_r0.py,p7_mergelists_r2.py,1,0,0,1,0,1,0,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p7_mergelists_r0.py,p7_mergelists_r3.py,1,0,0,1,0,1,1,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p7_mergelists_r0.py,p7_mergelists_r4.py,1,0,0,1,0,1,1,1,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p7_mergelists_r1.py,p7_mergelists_r2.py,1,0,0,0,0,1,0,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p7_mergelists_r1.py,p7_mergelists_r3.py,1,0,0,0,0,1,1,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p7_mergelists_r1.py,p7_mergelists_r4.py,1,0,0,0,0,1,1,1,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p7_mergelists_r2.py,p7_mergelists_r3.py,1,0,0,0,0,0,1,0,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p7_mergelists_r2.py,p7_mergelists_r4.py,1,0,0,0,0,0,1,1,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p7_mergelists_r3.py,p7_mergelists_r4.py,1,0,0,0,0,0,1,1,"Same merge sorted lists solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p8_vowels_r0.py,p8_vowels_r1.py,1,0,0,1,0,0,0,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p8_vowels_r0.py,p8_vowels_r2.py,1,0,0,1,0,1,0,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p8_vowels_r0.py,p8_vowels_r3.py,1,0,0,1,0,1,1,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p8_vowels_r0.py,p8_vowels_r4.py,1,0,0,1,0,1,1,1,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p8_vowels_r1.py,p8_vowels_r2.py,1,0,0,0,0,1,0,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p8_vowels_r1.py,p8_vowels_r3.py,1,0,0,0,0,1,1,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p8_vowels_r1.py,p8_vowels_r4.py,1,0,0,0,0,1,1,1,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p8_vowels_r2.py,p8_vowels_r3.py,1,0,0,0,0,0,1,0,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p8_vowels_r2.py,p8_vowels_r4.py,1,0,0,0,0,0,1,1,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p8_vowels_r3.py,p8_vowels_r4.py,1,0,0,0,0,0,1,1,"Same vowel/consonant count solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p9_transpose_r0.py,p9_transpose_r1.py,1,0,0,1,0,0,0,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by identifiers renamed.",1
p9_transpose_r0.py,p9_transpose_r2.py,1,0,0,1,0,1,0,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated.",1
p9_transpose_r0.py,p9_transpose_r3.py,1,0,0,1,0,1,1,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent.",1
p9_transpose_r0.py,p9_transpose_r4.py,1,0,0,1,0,1,1,1,"Same matrix transpose solution, same I/O contract and same overall approach; differs by identifiers renamed, statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p9_transpose_r1.py,p9_transpose_r2.py,1,0,0,0,0,1,0,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by statements reordered/consolidated.",1
p9_transpose_r1.py,p9_transpose_r3.py,1,0,0,0,0,1,1,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent.",1
p9_transpose_r1.py,p9_transpose_r4.py,1,0,0,0,0,1,1,1,"Same matrix transpose solution, same I/O contract and same overall approach; differs by statements reordered/consolidated, a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p9_transpose_r2.py,p9_transpose_r3.py,1,0,0,0,0,0,1,0,"Same matrix transpose solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent.",1
p9_transpose_r2.py,p9_transpose_r4.py,1,0,0,0,0,0,1,1,"Same matrix transpose solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p9_transpose_r3.py,p9_transpose_r4.py,1,0,0,0,0,0,1,1,"Same matrix transpose solution, same I/O contract and same overall approach; differs by a control structure swapped for an equivalent, one step replaced by an equivalent library/idiomatic technique.",1
p6_bfs_r0.py,p5_reverselist_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r2.py,p8_vowels_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r0.py,p2_palindrome_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r0.py,p4_sieve_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r4.py,p7_mergelists_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r4.py,p2_palindrome_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r4.py,p7_mergelists_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r2.py,p6_bfs_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r3.py,p5_reverselist_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r4.py,p9_transpose_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r3.py,p2_palindrome_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r4.py,p9_transpose_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r1.py,p8_vowels_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r1.py,p2_palindrome_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r3.py,p9_transpose_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r0.py,p7_mergelists_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r0.py,p6_bfs_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r2.py,p4_sieve_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r0.py,p1_binsearch_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r2.py,p3_gcd_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r3.py,p7_mergelists_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r3.py,p3_gcd_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r3.py,p6_bfs_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r3.py,p5_reverselist_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r3.py,p3_gcd_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r0.py,p6_bfs_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r3.py,p3_gcd_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r2.py,p9_transpose_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r1.py,p1_binsearch_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r2.py,p1_binsearch_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r0.py,p7_mergelists_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_r3.py,p6_bfs_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r4.py,p4_sieve_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r4.py,p1_binsearch_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r3.py,p7_mergelists_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r0.py,p3_gcd_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r3.py,p9_transpose_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r1.py,p7_mergelists_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r0.py,p2_palindrome_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p5_reverselist_r2.py,p9_transpose_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r0.py,p1_binsearch_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r4.py,p8_vowels_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r1.py,p2_palindrome_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p2_palindrome_r4.py,p4_sieve_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r1.py,p6_bfs_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p8_vowels_r0.py,p5_reverselist_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r1.py,p3_gcd_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r1.py,p2_palindrome_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_r3.py,p1_binsearch_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p7_mergelists_r2.py,p4_sieve_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r0.py,p8_vowels_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r3.py,p5_reverselist_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p6_bfs_r3.py,p3_gcd_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r4.py,p9_transpose_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p3_gcd_r4.py,p9_transpose_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r4.py,p2_palindrome_r1.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p9_transpose_r4.py,p5_reverselist_r0.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r0.py,p5_reverselist_r4.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p4_sieve_r3.py,p6_bfs_r3.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
p1_binsearch_r4.py,p7_mergelists_r2.py,0,0,0,0,0,0,0,0,Different programming assignment; unrelated implementations.,0
